resident,invader,initial_fraction,final_fraction,generations_run,fixated,invader_won,seed
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92832
Always Cooperate,Always Defect,0.4,1.0,2,True,True,92933
Always Cooperate,Always Defect,0.4,1.0,2,True,True,93034
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100112
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100213
Always Cooperate,Always Defect,0.45,1.0,1,True,True,100314
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100415
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100516
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100617
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100718
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100819
Always Cooperate,Always Defect,0.45,1.0,2,True,True,100920
Always Cooperate,Always Defect,0.45,1.0,1,True,True,101021
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101122
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101223
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101324
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101425
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101526
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101627
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101728
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101829
Always Cooperate,Always Defect,0.45,1.0,2,True,True,101930
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102031
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102132
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102233
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102334
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102435
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102536
Always Cooperate,Always Defect,0.45,1.0,1,True,True,102637
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102738
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102839
Always Cooperate,Always Defect,0.45,1.0,2,True,True,102940
Always Cooperate,Always Defect,0.45,1.0,2,True,True,103041
Always Cooperate,Always Defect,0.5,1.0,1,True,True,110119
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110220
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110321
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110422
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110523
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110624
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110725
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110826
Always Cooperate,Always Defect,0.5,1.0,2,True,True,110927
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111028
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111129
Always Cooperate,Always Defect,0.5,1.0,1,True,True,111230
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111331
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111432
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111533
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111634
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111735
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111836
Always Cooperate,Always Defect,0.5,1.0,2,True,True,111937
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112038
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112139
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112240
Always Cooperate,Always Defect,0.5,1.0,1,True,True,112341
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112442
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112543
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112644
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112745
Always Cooperate,Always Defect,0.5,1.0,1,True,True,112846
Always Cooperate,Always Defect,0.5,1.0,2,True,True,112947
Always Cooperate,Always Defect,0.5,1.0,2,True,True,113048
Always Cooperate,Always Defect,0.55,1.0,2,True,True,120126
Always Cooperate,Always Defect,0.55,1.0,2,True,True,120227
Always Cooperate,Always Defect,0.55,1.0,1,True,True,120328
Always Cooperate,Always Defect,0.55,1.0,2,True,True,120429
Always Cooperate,Always Defect,0.55,1.0,2,True,True,120530
Always Cooperate,Always Defect,0.55,1.0,1,True,True,120631
Always Cooperate,Always Defect,0.55,1.0,2,True,True,120732
Always Cooperate,Always Defect,0.55,1.0,1,True,True,120833
Always Cooperate,Always Defect,0.55,1.0,1,True,True,120934
Always Cooperate,Always Defect,0.55,1.0,2,True,True,121035
Always Cooperate,Always Defect,0.55,1.0,2,True,True,121136
Always Cooperate,Always Defect,0.55,1.0,2,True,True,121237
Always Cooperate,Always Defect,0.55,1.0,2,True,True,121338
Always Cooperate,Always Defect,0.55,1.0,2,True,True,121439
Always Cooperate,Always Defect,0.55,1.0,2,True,True,121540
Always Cooperate,Always Defect,0.55,1.0,1,True,True,121641
Always Cooperate,Always Defect,0.55,1.0,1,True,True,121742
Always Cooperate,Always Defect,0.55,1.0,1,True,True,121843
Always Cooperate,Always Defect,0.55,1.0,1,True,True,121944
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122045
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122146
Always Cooperate,Always Defect,0.55,1.0,1,True,True,122247
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122348
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122449
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122550
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122651
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122752
Always Cooperate,Always Defect,0.55,1.0,2,True,True,122853
Always Cooperate,Always Defect,0.55,1.0,1,True,True,122954
Always Cooperate,Always Defect,0.55,1.0,2,True,True,123055
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130133
Always Cooperate,Always Defect,0.6,1.0,2,True,True,130234
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130335
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130436
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130537
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130638
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130739
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130840
Always Cooperate,Always Defect,0.6,1.0,1,True,True,130941
Always Cooperate,Always Defect,0.6,1.0,2,True,True,131042
Always Cooperate,Always Defect,0.6,1.0,2,True,True,131143
Always Cooperate,Always Defect,0.6,1.0,1,True,True,131244
Always Cooperate,Always Defect,0.6,1.0,1,True,True,131345
Always Cooperate,Always Defect,0.6,1.0,1,True,True,131446
Always Cooperate,Always Defect,0.6,1.0,1,True,True,131547
Always Cooperate,Always Defect,0.6,1.0,1,True,True,131648
Always Cooperate,Always Defect,0.6,1.0,2,True,True,131749
Always Cooperate,Always Defect,0.6,1.0,2,True,True,131850
Always Cooperate,Always Defect,0.6,1.0,2,True,True,131951
Always Cooperate,Always Defect,0.6,1.0,2,True,True,132052
Always Cooperate,Always Defect,0.6,1.0,1,True,True,132153
Always Cooperate,Always Defect,0.6,1.0,2,True,True,132254
Always Cooperate,Always Defect,0.6,1.0,1,True,True,132355
Always Cooperate,Always Defect,0.6,1.0,1,True,True,132456
Always Cooperate,Always Defect,0.6,1.0,2,True,True,132557
Always Cooperate,Always Defect,0.6,1.0,1,True,True,132658
Always Cooperate,Always Defect,0.6,1.0,1,True,True,132759
Always Cooperate,Always Defect,0.6,1.0,2,True,True,132860
Always Cooperate,Always Defect,0.6,1.0,1,True,True,132961
Always Cooperate,Always Defect,0.6,1.0,2,True,True,133062
Always Cooperate,Always Defect,0.65,1.0,1,True,True,140140
Always Cooperate,Always Defect,0.65,1.0,2,True,True,140241
Always Cooperate,Always Defect,0.65,1.0,1,True,True,140342
Always Cooperate,Always Defect,0.65,1.0,2,True,True,140443
Always Cooperate,Always Defect,0.65,1.0,2,True,True,140544
Always Cooperate,Always Defect,0.65,1.0,1,True,True,140645
Always Cooperate,Always Defect,0.65,1.0,1,True,True,140746
Always Cooperate,Always Defect,0.65,1.0,1,True,True,140847
Always Cooperate,Always Defect,0.65,1.0,2,True,True,140948
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141049
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141150
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141251
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141352
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141453
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141554
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141655
Always Cooperate,Always Defect,0.65,1.0,1,True,True,141756
