player_id,strategy,n_matches,total_payoff,avg_payoff_per_match,avg_payoff_per_round
197,Always Defect,999,12683,12.695695695695695,2.539139139139139
198,Always Defect,999,12667,12.67967967967968,2.535935935935936
199,Always Defect,999,12619,12.631631631631631,2.526326326326326
200,Random(p=0.2),999,12255,12.267267267267266,2.453453453453453
201,Random(p=0.2),999,12409,12.421421421421421,2.4842842842842843
202,Random(p=0.2),999,12386,12.398398398398399,2.4796796796796796
203,Random(p=0.2),999,12336,12.348348348348349,2.4696696696696696
204,Random(p=0.2),999,12220,12.232232232232231,2.4464464464464464
205,Random(p=0.2),999,12448,12.46046046046046,2.492092092092092
206,Random(p=0.2),999,12356,12.368368368368369,2.473673673673674
207,Random(p=0.2),999,12292,12.304304304304305,2.460860860860861
208,Random(p=0.2),999,12276,12.288288288288289,2.457657657657658
209,Random(p=0.2),999,12414,12.426426426426426,2.4852852852852854
210,Random(p=0.2),999,12403,12.415415415415415,2.4830830830830832
211,Random(p=0.2),999,12291,12.303303303303304,2.4606606606606607
212,Random(p=0.2),999,12443,12.455455455455455,2.491091091091091
213,Random(p=0.2),999,12364,12.376376376376376,2.4752752752752754
214,Random(p=0.2),999,12369,12.381381381381381,2.476276276276276
215,Random(p=0.2),999,12398,12.41041041041041,2.482082082082082
216,Random(p=0.2),999,12312,12.324324324324325,2.464864864864865
217,Random(p=0.2),999,12441,12.453453453453454,2.4906906906906907
218,Random(p=0.2),999,12541,12.553553553553554,2.5107107107107107
219,Random(p=0.2),999,12433,12.445445445445445,2.489089089089089
220,Random(p=0.2),999,12495,12.507507507507508,2.501501501501502
221,Random(p=0.2),999,12376,12.388388388388389,2.477677677677678
222,Random(p=0.2),999,12400,12.412412412412412,2.4824824824824825
223,Random(p=0.2),999,12504,12.516516516516516,2.503303303303303
224,Random(p=0.2),999,12552,12.564564564564565,2.512912912912913
225,Random(p=0.2),999,12431,12.443443443443444,2.488688688688689
226,Random(p=0.2),999,12411,12.423423423423424,2.4846846846846846
227,Random(p=0.2),999,12427,12.43943943943944,2.487887887887888
228,Random(p=0.2),999,12421,12.433433433433434,2.486686686686687
229,Random(p=0.2),999,12490,12.502502502502503,2.5005005005005008
230,Random(p=0.2),999,12457,12.46946946946947,2.493893893893894
231,Random(p=0.2),999,12488,12.5005005005005,2.5001001001001
